headline,slug,eyecatcher_id,clicked
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,1
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,0
"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",let-s-see-hire-cops-pay-teachers-buy-books-for-schools-or-kill-people-hard-choice-right-bw2-1a,546dce659ad54ec65b000041,0
